cluster,center_x,center_y,size
81,128.7625474,37.96780618,184
82,127.9870006,37.49014176,539
83,128.6228091,38.07569383,405
84,128.5864842,38.19617502,3383
85,128.8295631,37.88680223,795
86,128.8978468,37.76381911,4976
87,127.8246614,37.31662705,435
88,127.0852256,34.76430863,280
89,128.161253,36.41659774,1288
90,127.874196,37.3765183,356
91,127.661124,36.00374418,235
92,127.759191,35.89987837,161
93,126.6018622,34.56951888,669
94,128.4327676,36.38527596,205
95,126.6968484,34.79764768,230
96,126.9082814,34.67944133,442
97,126.7704748,34.63866761,411
98,127.9502551,37.38356354,227
99,127.9378239,37.36883576,351
100,127.9837827,37.32583128,571
101,127.2838202,35.63030412,312
102,127.950722,37.3467116,999
103,129.4473011,36.68512604,355
104,127.959974,37.32118372,581
105,127.9461941,37.32831522,414
106,127.92987,37.33480053,373
107,127.9300229,37.34770871,651
108,127.7080083,38.10309825,358
109,128.5671851,36.24270163,223
110,128.6968121,36.351545,343
111,127.7284415,36.48504746,435
112,127.6286942,35.20283181,205
113,127.4691585,35.21017313,462
114,126.5047858,35.27540516,556
115,126.4478845,35.37778568,215
116,127.8708992,35.41819184,222
117,127.6047336,35.45529379,165
118,127.7301779,35.52114521,516
119,127.2981669,35.28170187,292
120,127.3875852,35.41030767,1326
121,126.3344269,36.55188934,410
122,126.3005131,36.75126087,755
123,127.780204,36.17636032,595
124,126.4768398,35.62297778,242
125,126.6925243,35.4530324,654
126,126.5213197,35.06283645,275
127,126.4650032,34.97064901,430
128,127.3460808,34.84435799,268
129,127.1362075,35.37356084,342
130,126.4605116,34.75205551,388
131,126.4627953,34.81049184,1039
132,127.8947258,34.83834812,421
133,126.4263615,34.8045623,1981
134,127.7486863,35.06871973,336
135,127.9036542,35.02674454,157
136,128.082249,35.0750898,1149
137,128.0698739,34.92927318,1366
138,126.8590987,35.56960496,1528
139,129.4151893,36.53309703,311
140,126.9840053,35.31951663,679
141,126.7811061,35.30225006,303
142,127.6954478,34.93971741,1382
143,127.7205,34.96338288,309
144,126.8941778,35.80390871,977
145,126.7347755,35.72577784,617
146,127.5823622,34.97233789,1049
147,126.9870602,35.06000465,794
148,126.3959201,34.80418176,472
149,128.7593144,35.49191844,1699
150,126.8462738,35.04391619,199
151,126.7884635,35.02062476,1028
152,126.3865794,34.78957947,679
153,126.3750378,34.80626002,761
154,127.5505278,34.93297924,388
155,126.7099106,34.99718727,190
156,126.7174538,35.03312503,443
157,126.9028014,36.28062443,870
158,127.9697492,35.30318291,201
159,126.964122,36.54905666,228
160,126.5138418,36.31380945,343
161,126.6023568,36.34776718,1348
162,128.1939539,36.59357431,1309
163,128.10325,36.73356103,303
164,128.2675998,35.72679142,398
165,126.8027349,36.44973871,357
166,127.8023493,36.80701469,436
167,127.5222926,34.95166604,1659
168,127.5238298,34.96972362,261
169,127.4850205,34.96887612,162
170,127.4902152,34.94954689,1045
171,127.4948991,34.93299318,169
172,128.1467114,35.21519644,196
173,126.7941983,35.13631998,688
174,126.7731881,35.14827336,204
175,127.4369757,38.23897102,201
176,128.1451474,35.17658114,507
177,128.1092653,35.15930558,643
178,129.4995453,35.79721431,284
179,126.8187208,35.18122236,3276
180,128.1127613,35.20978909,273
181,126.8448907,35.21574074,1303
182,128.724572,35.65438007,540
183,126.862681,35.20744427,276
184,126.8772932,35.21087784,466
185,129.3849928,36.35782921,333
186,129.3696822,36.41116889,294
187,128.1167834,35.18594492,1187
188,129.5566572,35.99087286,278
189,127.7357569,37.8717912,6079
190,128.3314275,34.97279849,693
191,128.0796695,35.19479547,1137
192,128.0915018,35.18084405,434
193,128.0695229,35.18236994,230
194,128.0636595,35.17196673,507
195,129.2225481,35.99133937,327
196,129.195505,36.00193597,158
197,127.6797695,37.64510249,231
198,128.2884466,35.92205721,442
199,128.4198889,34.88186896,567
200,126.9316526,35.13139689,151
201,126.4801528,36.52451165,241
202,129.4062285,35.97102935,1445
203,126.8984175,35.20445057,295
204,129.3650668,36.03872687,7036
205,126.8656646,35.12217413,230
206,126.8806105,35.12491084,244
207,129.3376915,36.09637308,210
208,129.3459317,36.10896031,300
209,128.3012012,36.24127447,358
210,128.4009868,35.98890094,819
211,126.5466937,37.02617725,239
212,127.633975,37.28801994,1804
213,128.1124991,36.12686527,1574
214,128.1826183,36.11875665,487
215,128.4267933,34.8581545,601
216,128.4249392,34.84331794,725
217,128.3434844,36.06838112,455
218,128.357835,36.09209907,720
219,129.4532099,35.64767032,585
220,128.4322612,36.15572397,273
221,128.4196877,36.13957792,657
222,128.4114408,36.07653374,436
223,128.4267038,36.10065787,1380
224,128.4151403,35.65716933,336
225,128.4445979,35.72892181,286
226,128.4533765,35.69454977,1050
227,128.9406037,35.97085995,1299
228,128.6178201,35.99067922,209
229,128.5551229,35.9347058,2663
230,128.4952907,35.54105505,398
231,128.2614303,35.31868416,330
232,128.3151776,36.14959011,709
233,128.8189475,35.87619127,348
234,128.817734,35.91218109,736
235,128.4395917,35.78137331,200
236,128.3628007,36.122678,211
237,128.3378957,36.11955489,1612
238,126.8765786,35.17520722,585
239,128.405886,35.2762104,491
240,126.9019628,35.18808766,260
241,126.8972137,35.17878755,633
242,129.0847104,35.49439421,343
243,129.1193602,35.56160691,1043
244,129.1030297,35.84782391,219
245,127.9847922,36.84570373,179
246,128.514287,35.89723076,182
247,127.6340839,37.11755496,563
248,128.4806775,35.38907357,370
249,128.5277927,35.45374619,170
250,129.0597036,35.41511114,211
251,128.7562864,35.83959151,725
252,129.0249765,35.31476379,392
253,128.620372,35.94290502,197
254,126.968118,35.95328935,4446
255,128.711988,35.87078638,1713
256,127.6903804,36.93427489,499
257,126.9204479,35.18607961,209
258,129.3131878,35.77976087,384
259,129.2136188,35.85335323,3894
260,129.28496,35.83968391,310
261,127.490644,36.10499237,605
262,127.4644447,36.19161428,185
263,129.3448367,35.38457434,173
264,128.7556134,35.8167687,506
