cluster,center_x,center_y,size
72,128.8476067,37.49595162,371
73,126.4398213,33.45674158,455
74,126.5954875,33.49063605,325
75,128.6458572,37.38098645,224
76,128.6658931,37.38154142,932
77,126.5875553,34.18087227,1063
78,126.5098625,33.46943782,249
79,126.4311304,33.48833119,1613
80,126.4105528,33.48326344,733
81,126.4653171,33.50390748,350
82,126.4850898,33.48660819,13910
83,126.5457735,33.47397069,1613
84,126.5610291,33.51486404,412
85,126.5646753,33.51981279,480
86,127.8079958,38.04991958,227
87,127.6981395,38.10135373,1831
88,126.5802629,33.51670241,264
89,126.5877466,33.52122864,424
90,127.6373444,37.79299976,562
91,128.6550646,37.21232661,406
92,127.7857214,37.9307872,265
93,128.7753973,37.24693335,311
94,128.8520841,37.20225856,484
95,128.8201086,37.22664786,593
96,126.5069764,33.49634455,427
97,126.5297736,33.50278715,18161
98,128.9142462,36.93611943,472
99,128.7407856,36.88997108,1726
100,128.6597759,36.98012989,264
101,127.7510514,37.91756329,535
102,127.7608444,37.83702099,369
103,127.7131038,37.84167104,591
104,127.7142407,37.84521247,212
105,128.1898117,37.70908699,376
106,128.5285807,36.87001982,1750
107,127.7383443,37.87006878,21878
108,127.7297631,37.90091753,568
109,127.7365681,37.90915725,234
110,127.0304425,34.34710899,389
111,128.6351124,36.81142367,407
112,128.606114,36.815972,1092
113,129.0454964,37.23265454,778
114,128.7232247,38.01891145,295
115,128.7676144,37.95996227,718
116,129.0320928,37.68685953,245
117,129.0368267,37.61253874,349
118,129.0100702,37.1018947,444
119,128.9880371,37.16465142,3975
120,128.6244919,36.82402651,1979
121,128.6215988,38.07546894,1507
122,128.6299718,38.11861659,277
123,128.6283158,38.09895112,309
124,128.5209067,38.20723043,337
125,128.5611462,37.6422163,990
126,128.7006931,37.6710722,1169
127,129.1690642,37.44461953,5123
128,128.6173343,36.81709944,984
129,128.6222533,36.81265909,309
130,128.8289435,37.8843024,2907
131,128.5509781,38.19070826,504
132,129.1259541,37.49763743,406
133,129.1266298,37.48121946,471
134,128.8738154,37.83817721,287
135,128.6065111,38.17431222,357
136,128.5852936,38.19982281,9067
137,129.1081757,37.50278752,657
138,129.1080908,37.48931901,1167
139,129.1068292,37.54611574,1678
140,128.8546999,37.80647251,283
141,127.4608357,34.47297466,330
142,129.1198449,37.5186012,824
143,129.1132293,37.52211587,1056
144,126.4941597,35.63844227,838
145,128.9347154,37.76352205,218
146,128.9336158,37.77546629,382
147,128.8808331,37.74227005,409
148,128.8692783,37.75762598,399
149,128.8777718,37.76586773,1573
150,127.520044,38.06982248,626
151,128.9191095,37.75792696,565
152,128.8934835,37.76817028,472
153,128.2108411,34.84328673,229
154,128.2220801,37.50852344,818
155,128.3952293,37.36933842,1168
156,128.4520287,37.49008264,216
157,128.4547735,37.50152094,447
158,128.3238741,37.58651515,296
159,128.4145282,37.583707,230
160,128.3760161,37.61540617,463
161,128.8831228,37.75524135,568
162,128.9020725,37.76096329,7915
163,128.0667276,37.45237195,490
164,127.9859524,37.48849445,2855
165,127.955987,37.75800018,278
166,127.8730117,37.37797305,1553
167,127.2626107,35.10961771,886
168,127.7283694,34.61818782,241
169,127.8238199,37.31596727,1584
170,127.907411,37.27714519,215
171,127.6877694,35.67362518,235
172,127.7357654,34.82717349,348
173,127.8975752,37.69040422,377
174,127.8780197,37.68255081,324
175,127.8855441,37.69085733,1537
176,127.8953029,37.69776884,575
177,128.4932935,37.07350573,342
178,128.4657433,37.18545324,3682
179,128.3018518,37.03230115,1118
180,127.8989208,37.35435945,308
181,127.6429658,34.82258084,234
182,128.3513364,36.92065325,220
183,128.3651483,36.9823473,1639
184,127.9495824,37.40415746,209
185,127.9208764,37.30271285,472
186,127.9753532,37.38314581,279
187,127.7510322,34.72015407,653
188,127.6918355,34.78443891,319
189,127.6335948,34.7919122,281
190,127.6699747,34.80791861,401
191,127.6645162,34.7856831,401
192,127.7035678,34.76917687,949
193,127.7028655,34.75259545,2909
194,127.6530066,34.74572075,249
195,127.9830406,37.32579286,2230
196,127.950802,37.38322368,942
197,127.7214323,34.73214003,1396
198,127.6755047,34.74627515,1099
199,127.6378079,34.76325695,486
200,127.6469135,34.77407593,2014
201,127.6646779,34.76162061,5191
202,127.7316796,34.74071464,2642
203,127.7420699,34.74478475,371
204,127.9625592,36.33409236,380
205,127.9482371,36.44133622,305
206,127.5560028,35.89365124,232
207,126.1004665,35.08982856,275
208,127.9378813,37.36905457,754
209,127.7649225,35.90596719,455
210,127.9686799,37.34139515,388
211,127.6480563,35.8405517,723
212,127.5185545,35.64767654,951
213,127.5810707,35.72644059,1027
214,128.1207256,35.40618786,508
215,127.9494485,37.32056844,480
216,127.9633006,37.33194472,384
217,127.9364161,37.35776048,542
218,127.9548287,37.34314946,388
219,127.9496812,37.35027643,2086
220,127.9408304,37.34201379,296
221,127.9221443,37.34082483,438
222,127.9373727,37.32007394,666
223,128.3218091,35.46293909,461
224,127.9397704,37.33532983,298
225,127.929573,37.34706071,1627
226,126.2823692,37.78301001,279
227,128.2664202,35.55714233,462
228,128.1615371,35.56624329,2395
229,127.9335907,37.33947414,441
230,127.9292352,37.33469002,1102
231,127.9422971,37.32493191,753
232,127.9497075,37.33064472,581
233,127.6640888,36.00742244,1484
234,127.84877,35.96306806,206
235,127.7839162,36.00939934,263
236,127.9620993,37.31889661,640
237,127.9566266,37.3289968,583
238,127.956625,37.32508639,274
239,128.8932546,36.45952863,253
240,127.4108217,35.77933407,2972
241,129.5577504,35.9919621,1330
242,129.5599531,36.07698709,225
243,129.4428113,35.79088333,241
244,129.5017194,35.80582924,696
245,129.4290638,35.54421669,1431
246,129.4412065,35.62822661,1338
247,129.4668188,35.68627757,636
248,127.0842217,34.67298891,254
249,127.0673686,34.76836093,1907
250,126.895066,34.38695465,233
251,126.8244372,34.33213165,316
252,127.8369552,35.27618921,575
253,127.9674666,35.31194999,1666
254,126.8030674,34.39778326,272
255,126.8181153,34.45147811,322
256,126.4325246,34.5728281,412
257,128.0170152,35.70696621,389
258,126.5214832,34.36897951,462
259,126.519589,34.47963357,299
260,126.9173132,34.48987593,543
261,126.9363843,34.56286046,400
262,127.8337029,35.75393325,288
263,127.912629,35.68549401,6025
264,127.8147404,35.6296855,482
265,126.7343722,34.3364687,426
266,126.7496693,34.31780572,2322
267,127.7450711,35.51699766,3483
268,127.8752267,35.41713734,1185
269,126.6005884,34.56903816,4858
270,127.7571997,35.27565337,260
271,126.6393159,34.39777181,441
272,126.725646,34.53033574,429
273,126.9132955,34.67708385,3036
274,126.8133259,34.71420979,218
275,128.706435,36.15492186,329
276,128.6844469,36.25526184,375
277,126.7702977,34.63858261,2734
278,126.7115263,34.68919539,261
279,126.206466,35.05688172,507
280,128.4783244,36.25848002,353
281,128.6832941,36.3541606,238
282,128.1678925,36.91697218,365
283,128.7095475,36.35017219,246
284,128.6971234,36.35024166,1100
285,126.4175248,36.40590175,499
286,128.5680739,36.23798247,1099
287,128.5781809,36.29736486,410
288,128.4339746,36.38607758,904
289,128.3563659,36.44972526,245
290,128.2989758,36.50810774,281
291,128.4597488,36.65595792,2681
292,128.8917529,35.69125779,611
293,128.3856118,36.54482115,264
294,128.0626384,36.64557681,330
295,128.1123027,36.72347805,883
296,127.3646461,34.67778526,567
297,127.1267182,34.46177896,205
298,127.2201948,34.79117097,705
299,127.8848657,35.1815858,357
300,128.4891882,36.57486812,1876
301,127.3212643,34.51130977,216
302,127.2856554,34.60403449,2455
303,127.1377788,34.52811156,1312
304,127.1561491,34.55756257,201
305,128.0933812,36.28503567,401
306,127.3424615,34.90516818,210
307,128.1148826,36.34455512,219
308,127.3348885,34.78089614,282
309,127.3455255,34.84338485,1470
310,128.276511,36.60797402,210
311,128.1490043,35.74033095,508
312,128.5732778,36.57930432,398
313,128.1723488,36.63767199,201
314,128.0440635,34.71189374,332
315,127.9868352,34.72351024,229
316,128.6116749,36.58946894,326
317,128.6507917,36.58919079,288
318,128.1970141,36.41895442,360
319,127.6310391,35.20549706,728
320,128.7932899,36.54351285,228
321,128.1802189,36.40602876,467
322,127.8511307,36.87398912,208
323,128.1795759,36.56816447,477
324,128.1948455,36.59326497,4849
325,127.8580403,36.77948608,203
326,127.7942915,36.80911793,1539
327,127.7541155,37.41746034,273
328,127.8178886,36.52836588,309
329,127.9098027,36.22573794,432
330,128.158448,36.41613713,4515
331,128.1500219,36.39775713,607
332,127.9772435,35.13302153,205
333,129.4449164,36.50561847,293
334,129.4071243,36.53927591,940
335,127.828228,36.2682018,431
336,127.7931777,36.3408614,320
337,126.1862073,34.41327506,272
338,127.9031271,35.02809049,657
339,127.9741388,35.00106839,399
340,127.9600244,35.05742559,285
341,126.2952933,35.10886143,427
342,127.6241021,35.44667948,1102
343,127.5271466,35.43995904,455
344,128.7337028,36.54987419,949
345,128.7214172,36.5503361,221
346,127.6769882,36.11334129,259
347,127.7747671,36.17642945,3152
348,126.3260903,34.66668828,206
349,126.2711297,34.48038977,2573
350,126.3052377,34.59163996,567
351,128.3921819,36.19683171,217
352,127.7201704,36.48198003,2010
353,127.7325264,36.39629115,204
354,128.5298823,36.09613727,548
355,128.4920673,36.11465471,740
356,128.3248512,36.21295762,285
357,128.3002658,36.24225149,1306
358,127.6071796,37.68051594,207
359,127.6888393,37.66726432,721
360,128.883649,35.58907358,264
361,128.9584413,35.58551775,289
362,128.1833492,36.11950964,1721
363,128.1550233,36.11869826,1243
364,127.1624075,35.52407808,246
365,128.0945991,36.14047111,328
366,128.0745277,36.12667642,316
367,128.1142705,36.12564773,5945
368,129.383952,36.35826958,983
369,129.3711661,36.41044035,1969
370,128.2590378,36.16036289,403
371,128.1696104,35.88315341,204
372,128.8736873,35.5145609,282
373,128.7510567,35.49438239,8286
374,128.370051,35.0558192,546
375,128.325825,34.97410644,3541
376,127.7039717,35.1589721,485
377,126.1412321,36.68030201,419
378,129.284332,35.41150678,1730
379,128.7539117,36.55684742,1152
380,126.9540489,36.54243825,985
381,128.6161908,35.64035392,526
382,128.42748,36.10101282,5279
383,128.4028518,36.10952516,1063
384,127.8878432,34.76678284,286
385,127.8723614,34.94182898,252
386,127.4536437,35.31601028,271
387,127.4702397,35.21224536,2366
388,127.9008153,34.83873202,2890
389,128.2766177,35.17980881,653
390,128.0068837,34.84291262,472
391,128.0430357,34.7997111,341
392,127.1480106,35.28408412,861
393,127.1408427,35.37382861,2044
394,128.6675676,35.66268542,251
395,128.7362517,35.64587428,2066
396,128.3932731,36.0745612,222
397,128.4108634,36.07738642,1214
398,128.4045326,34.9880532,243
399,128.4144106,34.95230608,397
400,128.433183,36.1577969,1187
401,128.7285868,34.87108955,1265
402,128.7016068,34.83291492,607
403,126.3006185,36.75386342,3944
404,126.2185138,36.70551676,414
405,126.3430916,36.51502036,950
406,128.4824843,35.13588672,287
407,128.487307,35.1162918,923
408,126.3144179,36.59511033,659
409,126.2864306,36.67529795,324
410,126.1415375,36.78118574,343
411,126.1969864,36.7606993,210
412,128.6951449,35.95898142,231
413,127.7496194,35.06959783,1785
414,128.6847446,34.98913849,310
415,127.284425,35.61714633,1039
416,127.2714668,35.67180085,417
417,128.5236068,34.9162492,292
418,128.4398276,36.14035508,358
419,128.2226193,35.18353612,241
420,128.3108485,36.1519208,2013
421,127.8054376,34.997594,690
422,128.5890531,34.8504697,447
423,128.2710917,35.72350368,2220
424,128.7250458,36.56492453,3448
425,128.7398493,36.56269042,612
426,128.4209014,36.13809057,1420
427,128.4169013,36.14686809,287
428,128.3472008,36.15981723,1008
429,128.0251228,37.14094783,313
430,128.0817703,37.23088184,299
431,128.7062443,36.55926998,536
432,128.7010279,36.56397904,1074
433,128.5642278,34.89735325,351
434,127.2964918,35.28099406,1468
435,128.5931988,35.43721772,367
436,128.687816,34.86824904,1586
437,128.6921914,34.89395273,2530
438,127.346872,35.54285146,1026
439,128.2678158,37.2718969,415
440,127.4298522,38.24165648,1024
441,127.6089363,34.97159005,648
442,127.578958,34.97186828,4627
443,128.6551102,34.91363453,233
444,128.6259806,34.8853946,9502
445,128.4670414,34.88666206,360
446,127.7549536,34.94174748,584
447,127.4782544,34.89295637,274
448,128.0607613,35.00723022,297
449,128.4179908,34.88094774,2264
450,128.1219026,34.9312827,233
451,127.7204557,34.96510181,1670
452,127.6956196,34.94068277,6449
453,128.3306967,36.15171497,535
454,128.0631113,34.96908659,273
455,128.0789222,34.93433667,4720
456,128.3783027,36.12102647,1220
457,126.7930605,36.45066183,274
458,126.8024284,36.45061055,1342
459,129.214602,36.06624385,523
460,128.3848641,36.10177937,675
461,128.3805077,36.11111509,202
